food_code,food_name,calories,water_g,protein_g,fat_g,carbohydrates_g,fiber_g,niacin_mg,vitamin_a_,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,cholesterol_g,sodium_g,potassium_g,calcium_g,iron_g,magnesium_g,vitamin_c_g,thiamin_g,riboflavin_g,carb_fiber_ratio,protein_density,fat_energy_ratio,sodium_potassium_ratio
1001,"Amaranth, whole grain, dry, raw",0.4,0.10005002501250625,0.32166301969365424,0.055999999999999994,0.5920000000000001,0.14340344168260039,0.011655011655011656,0.0,0.0,0.0,0.0,0.0,7.792207792207793e-05,0.04049019607843138,0.03785046728971963,0.22093023255813954,0.5202312138728324,0.0045045045045045045,0.0011666666666666668,0.05023923444976077,0.06964705882352941,0.17759039379110886,0.1395966603722836,2.6510601934351377e-10
1004,Sweet Biscuits,0.5111111111111111,0.04302151075537768,0.1334792122538293,0.172,0.693,0.04015296367112811,0.016317016317016316,0.0010498687664041995,0.0,0.0,0.0,0.02105263157894737,0.007740259740259741,0.015490196078431375,0.010514018691588784,0.03255813953488372,0.036608863198458574,0.031531531531531536,0.0015,0.007177033492822967,0.22354838709677416,0.05770829550775464,0.33575440950712093,6.883445300193748e-08
1005,Brown Bread,0.2722222222222222,0.3601800900450225,0.175054704595186,0.0,0.469,0.11281070745697898,0.07925407925407926,0.0,0.0,0.0,0.0,0.0,0.011584415584415586,0.018725490196078436,0.013084112149532711,0.060465116279069774,0.11175337186897881,0.0,0.003666666666666667,0.002392344497607656,0.06797101449275361,0.14182873106264102,0.0,8.522139812238534e-08
1006,Sweet Bread,0.4088888888888889,0.2351175587793897,0.18161925601750548,0.14400000000000002,0.506,0.02868068833652008,0.053613053613053616,0.001942257217847769,0.0,0.0,0.0,0.0,0.009584415584415584,0.022254901960784317,0.018691588785046728,0.04418604651162791,0.03468208092485549,0.0027027027027027024,0.003333333333333334,0.038277511961722493,0.20240000000000002,0.09809820565166005,0.3511804487414243,5.932640510249529e-08
1007,White Bread,0.27666666666666667,0.36918459229614803,0.16849015317286653,0.019,0.488,0.05927342256214149,0.08857808857808858,0.0,0.0,0.0,0.0,0.0,0.012103896103896105,0.011764705882352943,0.008644859813084112,0.03953488372093023,0.05202312138728324,0.0,0.002666666666666667,0.014354066985645933,0.11902439024390243,0.1343259911894273,0.06839239239239238,1.4172631286466775e-07
1009,Corn Flakes,0.41444444444444445,0.03501750875437719,0.16411378555798686,0.006999999999999999,0.8300000000000001,0.0497131931166348,0.01864801864801865,0.00026246719160104987,0.0,0.0,0.0,0.0,0.028311688311688316,0.010784313725490198,0.0007009345794392524,0.00930232558139535,0.025048169556840076,0.0,0.0,0.019138755980861247,0.23055555555555554,0.08745789064524488,0.01684304625481096,3.616423659585843e-07
1010,"Wheat Biscuits,Weetabix",0.4066666666666667,0.03801900950475237,0.25164113785557984,0.019,0.7070000000000001,0.18929254302103252,0.25641025641025644,0.0,0.0,0.0,0.0,0.0,0.00935064935064935,0.03843137254901961,0.007009345794392523,0.17674418604651165,0.24084778420038536,0.0,0.016666666666666666,0.2966507177033493,0.06486238532110092,0.1366599046921701,0.04658882315558064,3.351697095514262e-08
1011,Buns,0.34,0.29014507253626814,0.15317286652078774,0.068,0.528,0.055449330783938815,0.04895104895104896,0.0,0.0,0.0,0.0,0.0026315789473684214,0.002597402597402598,0.02058823529411765,0.02102803738317757,0.058139534883720936,0.05202312138728324,0.0,0.003333333333333334,0.007177033492822967,0.13538461538461538,0.09944180573691687,0.1993263621928117,1.7379131701736424e-08
1012,Cupcakes,0.4033333333333333,0.2591295647823912,0.15536105032822756,0.153,0.488,0.021032504780114723,0.016317016317016316,0.0013123359580052493,0.0,0.0,0.0,0.14473684210526316,0.012467532467532468,0.010784313725490198,0.014719626168224299,0.023255813953488375,0.02697495183044316,0.0,0.001,0.03349282296650718,0.23238095238095238,0.08506801568475576,0.37825462825462824,1.5925535381662424e-07
1013,Fruit Cake,0.4088888888888889,0.2001000500250125,0.087527352297593,0.12300000000000001,0.588,0.05927342256214149,0.004662004662004663,0.0002099737532808399,0.0,0.0,0.0,0.06666666666666667,0.004415584415584416,0.034019607843137255,0.017523364485981307,0.04651162790697675,0.04431599229287091,0.0,0.001666666666666667,0.02392344497607656,0.14341463414634148,0.047276243687547,0.2999666332999666,1.7880004847374497e-08
1014,Sponge Cake,0.5166666666666667,0.15007503751875936,0.1422319474835886,0.267,0.49100000000000005,0.021032504780114723,0.011655011655011656,0.008477690288713912,0.0,0.0,0.0,0.28245614035087724,0.00909090909090909,0.010294117647058825,0.03271028037383178,0.03255813953488372,0.023121387283236993,0.0,0.0006666666666666668,0.031100478468899524,0.2338095238095238,0.060832655839367755,0.5156078825606722,1.2165334261328204e-07
1016,Iced Cake,0.4577777777777778,0.1570785392696348,0.2844638949671772,0.168,0.515,0.021032504780114723,0.011655011655011656,0.0,0.0,0.0,0.0,0.054561403508771936,0.006493506493506494,0.014411764705882355,0.010514018691588784,0.034883720930232565,0.01926782273603083,0.0,0.0005,0.11961722488038277,0.24523809523809523,0.13727853569561924,0.3660609762304678,6.206820083700708e-08
1017,Ugali,0.39444444444444443,0.10605302651325663,0.010940919037199124,0.004,0.871,0.011472275334608031,0.004662004662004663,0.0,0.0,0.0,0.0,0.0,0.00025974025974025974,0.0006862745098039217,0.0028037383177570096,0.01627906976744186,0.005780346820809248,0.0,0.0003333333333333334,0.0,0.5443749999999999,0.006125327921595802,0.010111234830335955,5.2130196207632485e-08
1018,"Githeri, white grains",0.38333333333333336,0.1360680340170085,0.1737417943107221,0.045,0.634,0.17973231357552583,0.046620046620046623,0.0,0.038446332145979874,0.023807882540107562,0.031027729422882323,0.0,0.00031168831168831173,0.02215686274509804,0.005607476635514019,0.060465116279069774,0.1445086705202312,0.0,0.004166666666666667,0.02392344497607656,0.06096153846153846,0.10008148506531538,0.1170390043222413,1.9378507368532088e-09
1047,Boiled Maize,0.12333333333333334,0.72136068034017,0.05689277899343545,0.015,0.20500000000000002,0.05736137667304016,0.011655011655011656,0.0,0.0,0.0,0.0,0.0,0.00012987012987012987,0.005784313725490197,0.0021028037383177566,0.0186046511627907,0.04816955684007707,0.0,0.0006666666666666668,0.004784688995215312,0.051250000000000004,0.10124292007551919,0.12052230802230801,3.09285862654561e-09
1019,"Githeri, yellow grains",0.37777777777777777,0.12706353176588292,0.18161925601750548,0.037000000000000005,0.625,0.22753346080305928,0.05128205128205129,0.0005249343832020997,0.0,0.0,0.0,0.0,0.00018181818181818183,0.03392156862745098,0.0016355140186915889,0.09069767441860466,0.2003853564547206,0.0,0.008333333333333333,0.028708133971291867,0.04844961240310077,0.10615319027994884,0.09764309764309766,7.383633358133202e-10
1049,Yellow Boiled Maize,0.12222222222222222,0.7183591795897949,0.05908096280087528,0.012,0.20199999999999999,0.07265774378585085,0.011655011655011656,0.00015748031496062994,0.0,0.0,0.0,0.0,0.0001038961038961039,0.008823529411764707,0.0009345794392523365,0.030232558139534887,0.06551059730250482,0.0,0.0013333333333333335,0.007177033492822967,0.042083333333333334,0.10608405762590785,0.09728647566485403,1.6220419935317832e-09
